source,authors,year,title,doi,page,volume,issue
"Bourland, W.A., Hampikian, G. and Vďačný, P. (2012) ‘Morphology and phylogeny of a new woodruffiid ciliate, Etoschophrya inornata sp. n. (Ciliophora, Colpodea, Platyophryida), with an account on evolution of platyophryids’, Zoologica Scripta, 41(4), pp. 400–416. Available at: https://doi.org/10.1111/j.1463-6409.2012.00539.x.","Bourland, W.A., Hampikian, G. and Vďačný, P. ",2012,"Morphology and phylogeny of a new woodruffiid ciliate, Etoschophrya inornata sp. n. (Ciliophora, Colpodea, Platyophryida), with an account on evolution of platyophryids",10.1111/j.1463-6409.2012.00539.x,400–416,41,(4)
"Bourland, W.A. and Wendell, L. (2014) ‘Redescription of Atopospira galeata (Kahl, 1927) nov. comb. and A. violacea (Kahl, 1926) nov. comb. with redefinition of Atopospira Jankowski, 1964 nov. stat. and Brachonella Jankowski, 1964 (Ciliophora, Armophorida)’, European Journal of Protistology, 50(4), pp. 356–372. Available at: https://doi.org/10.1016/j.ejop.2014.05.004.","Bourland, W.A. and Wendell, L. ",2014,"Redescription of Atopospira galeata (Kahl, 1927) nov. comb. and A. violacea (Kahl, 1926) nov. comb. with redefinition of Atopospira Jankowski, 1964 nov. stat. and Brachonella Jankowski, 1964 (Ciliophora, Armophorida)",10.1016/j.ejop.2014.05.004,356–372,1927,NA
"Bourland, W.A., Wendell, L. and Hampikian, G. (2014) ‘Morphologic and molecular description of Metopus fuscus Kahl from North America and new rDNA sequences from seven metopids (Armophorea, Metopidae)’, European Journal of Protistology, 50(3), pp. 213–230. Available at: https://doi.org/10.1016/j.ejop.2014.01.002.","Bourland, W.A., Wendell, L. and Hampikian, G. ",2014,"Morphologic and molecular description of Metopus fuscus Kahl from North America and new rDNA sequences from seven metopids (Armophorea, Metopidae)",10.1016/j.ejop.2014.01.002,213–230,50,(3)
"Bowen, K.L. and Johannsson, O.E. (2011) ‘Changes in zooplankton biomass in the Bay of Quinte with the arrival of the mussels, Dreissena polymorpha and D. rostiformis bugensis , and the predatory cladoceran, Cercopagis pengoi : 1975 to 2008’, Aquatic Ecosystem Health & Management, 14(1), pp. 44–55. Available at: https://doi.org/10.1080/14634988.2011.550528.","Bowen, K.L. and Johannsson, O.E. ",2011,"Changes in zooplankton biomass in the Bay of Quinte with the arrival of the mussels, Dreissena polymorpha and D. rostiformis bugensis , and the predatory cladoceran, Cercopagis pengoi : 1975 to 2008",10.1080/14634988.2011.550528,44–55,14,(1)
"Bozkurt, A. and Can, M.F. (2014) ‘Seasonal variations in body length and fecundity of 2 copepod species: Thermocyclops crassus (Fischer, 1853) and Eudiaptomus drieschi (Poppe & Mrázek, 1895)’, TURKISH JOURNAL OF ZOOLOGY, 38, pp. 222–228. Available at: https://doi.org/10.3906/zoo-1007-7.","Bozkurt, A. and Can, M.F. ",2014,"Seasonal variations in body length and fecundity of 2 copepod species: Thermocyclops crassus (Fischer, 1853) and Eudiaptomus drieschi (Poppe & Mrázek, 1895)",10.3906/zoo-1007-7,222–228,1853,NA
"Bradley, D.E. (1964) ‘A Study of the Mallomonas, Synura and Chrysosphaerella of Northern Iceland’, Journal of General Microbiology, 37(3), pp. 321–333. Available at: https://doi.org/10.1099/00221287-37-3-321.","Bradley, D.E. ",1964,"A Study of the Mallomonas, Synura and Chrysosphaerella of Northern Iceland",10.1099/00221287-37-3-321,321–333,37,(3)
"Bradshaw, W.E. (1983) ‘Estimating Biomass of Mosquito Populations’, Environmental Entomology, 12(3), pp. 779–781. Available at: https://doi.org/10.1093/ee/12.3.779.","Bradshaw, W.E. ",1983,Estimating Biomass of Mosquito Populations,10.1093/ee/12.3.779,779–781,12,(3)
"Braga, G.G. and Becker, V. (2020) ‘Influence of water volume reduction on the phytoplankton dynamics in a semi-arid man-made lake: A comparison of two morphofunctional approaches’, Anais da Academia Brasileira de Ciências, 92(1), p. e20181102. Available at: https://doi.org/10.1590/0001-3765202020181102.","Braga, G.G. and Becker, V. ",2020,Influence of water volume reduction on the phytoplankton dynamics in a semi-arid man-made lake: A comparison of two morphofunctional approaches,10.1590/0001-3765202020181102,e20181102,92,(1)
"Braghin, L.D.S.M. et al. (2018) ‘Effects of dams decrease zooplankton functional β‐diversity in river‐associated lakes’, Freshwater Biology, 63(7), pp. 721–730. Available at: https://doi.org/10.1111/fwb.13117.","Braghin, L.D.S.M. et al. ",2018,Effects of dams decrease zooplankton functional β‐diversity in river‐associated lakes,10.1111/fwb.13117,721–730,63,(7)
"Branstrator, D.K. (1998) ‘Predicting diet composition from body length in the zooplankton predator Leptodora kindti’, Limnology and Oceanography, 43(3), pp. 530–535. Available at: https://doi.org/10.4319/lo.1998.43.3.0530.","Branstrator, D.K. ",1998,Predicting diet composition from body length in the zooplankton predator Leptodora kindti,10.4319/lo.1998.43.3.0530,530–535,43,(3)
"Breuer, U. and Harms, H. (2006) ‘Debaryomyces hansenii — an extremophilic yeast with biotechnological potential’, Yeast, 23(6), pp. 415–437. Available at: https://doi.org/10.1002/yea.1374.","Breuer, U. and Harms, H. ",2006,Debaryomyces hansenii — an extremophilic yeast with biotechnological potential,10.1002/yea.1374,415–437,23,(6)
"Brezonik, P.L., Crisman, T.L. and Schulze, R.L. (1984) ‘Planktonic Communities in Florida Softwater Lakes of Varying pH’, Canadian Journal of Fisheries and Aquatic Sciences, 41(1), pp. 46–56. Available at: https://doi.org/10.1139/f84-005.","Brezonik, P.L., Crisman, T.L. and Schulze, R.L. ",1984,Planktonic Communities in Florida Softwater Lakes of Varying pH,10.1139/f84-005,46–56,41,(1)
"Brodie, J. and Lewis, J. (eds) (2007) Unravelling the algae: the past, present, and future of algal systematics. 0 edn. CRC Press. Available at: https://doi.org/10.1201/9780849379901.","Brodie, J. and Lewis, J.",2007,NA,10.1201/9780849379901,NA,NA,NA
"Buhagiar, R.W.M. (1975) ‘Torulopsis Bacarum, Torulopsis Pustula and Torulopsis Multis-Gemmis sp. nov., Three New Yeasts from Soft Fruit’, Journal of General Microbiology, 86(1), pp. 1–11. Available at: https://doi.org/10.1099/00221287-86-1-1.","Buhagiar, R.W.M. ",1975,"Torulopsis Bacarum, Torulopsis Pustula and Torulopsis Multis-Gemmis sp. nov., Three New Yeasts from Soft Fruit",10.1099/00221287-86-1-1,1–11,86,(1)
"Buhagiar, R.W.M., Yarrow, D. and Barnett, J.A. (1983) ‘Bullera crocea and Bullera armeniaca, Two New Yeasts from Fruit and Vegetables’, Microbiology, 129(10), pp. 3149–3155. Available at: https://doi.org/10.1099/00221287-129-10-3149.","Buhagiar, R.W.M., Yarrow, D. and Barnett, J.A. ",1983,"Bullera crocea and Bullera armeniaca, Two New Yeasts from Fruit and Vegetables",10.1099/00221287-129-10-3149,3149–3155,129,(10)
"Burgis, M.J. (1971) ‘The ecology and production of copepods, particularly Thermocyclops hyalinus , in the tropical Lake George, Uganda’, Freshwater Biology, 1(2), pp. 169–192. Available at: https://doi.org/10.1111/j.1365-2427.1971.tb01555.x.","Burgis, M.J. ",1971,"The ecology and production of copepods, particularly Thermocyclops hyalinus , in the tropical Lake George, Uganda",10.1111/j.1365-2427.1971.tb01555.x,169–192,1,(2)
"Burgis, M.J. (1974) ‘Revised estimates for the biomass and production of zooplankton in Lake George, Uganda’, Freshwater Biology, 4(6), pp. 535–541. Available at: https://doi.org/10.1111/j.1365-2427.1974.tb00113.x.","Burgis, M.J. ",1974,"Revised estimates for the biomass and production of zooplankton in Lake George, Uganda",10.1111/j.1365-2427.1974.tb00113.x,535–541,4,(6)
"Burlakova, L.E., Karatayev, A.Y. and Molloy, D.P. (1998) ‘Field and Laboratory Studies of Zebra Mussel (Dreissena polymorpha) Infection by the CiliateConchophthirus acuminatusin the Republic of Belarus’, Journal of Invertebrate Pathology, 71(3), pp. 251–257. Available at: https://doi.org/10.1006/jipa.1997.4728.","Burlakova, L.E., Karatayev, A.Y. and Molloy, D.P. ",1998,Field and Laboratory Studies of Zebra Mussel (Dreissena polymorpha) Infection by the CiliateConchophthirus acuminatusin the Republic of Belarus,10.1006/jipa.1997.4728,251–257,71,(3)
"Burns, C.W. and Gilbert, J.J. (1993) ‘Predation on ciliates by freshwater calanoid copepods: rates of predation and relative vulnerabilities of prey’, Freshwater Biology, 30(3), pp. 377–393. Available at: https://doi.org/10.1111/j.1365-2427.1993.tb00822.x.","Burns, C.W. and Gilbert, J.J. ",1993,Predation on ciliates by freshwater calanoid copepods: rates of predation and relative vulnerabilities of prey,10.1111/j.1365-2427.1993.tb00822.x,377–393,30,(3)
"Burns, C.W. and Rigler, F.H. (1967) ‘COMPARISON OF FILTERING RATES OF DAPHNIA ROSEA IN LAKE WATER AND IN SUSPENSIONS OF YEAST1’, Limnology and Oceanography, 12(3), pp. 492–502. Available at: https://doi.org/10.4319/lo.1967.12.3.0492.","Burns, C.W. and Rigler, F.H. ",1967,COMPARISON OF FILTERING RATES OF DAPHNIA ROSEA IN LAKE WATER AND IN SUSPENSIONS OF YEAST1,10.4319/lo.1967.12.3.0492,492–502,12,(3)
"Burns, C.W. and Schallenberg, M. (1996) ‘Relative impacts of copepods, cladocerans and nutrients on the microbial food web of a mesotrophic lake’, Journal of Plankton Research, 18(5), pp. 683–714. Available at: https://doi.org/10.1093/plankt/18.5.683.","Burns, C.W. and Schallenberg, M. ",1996,"Relative impacts of copepods, cladocerans and nutrients on the microbial food web of a mesotrophic lake",10.1093/plankt/18.5.683,683–714,18,(5)
"Burns, C.W. and Schallenberg, M. (1998) ‘Impacts of nutrients and zooplankton on the microbial food web of an ultra-oligotrophic lake’, Journal of Plankton Research, 20(8), pp. 1501–1525. Available at: https://doi.org/10.1093/plankt/20.8.1501.","Burns, C.W. and Schallenberg, M. ",1998,Impacts of nutrients and zooplankton on the microbial food web of an ultra-oligotrophic lake,10.1093/plankt/20.8.1501,1501–1525,20,(8)
"Burns, C.W. and Schallenberg, M. (2001) ‘Calanoid copepods versus cladocerans: Consumer effects on protozoa in lakes of different trophic status’, Limnology and Oceanography, 46(6), pp. 1558–1565. Available at: https://doi.org/10.4319/lo.2001.46.6.1558.","Burns, C.W. and Schallenberg, M. ",2001,Calanoid copepods versus cladocerans: Consumer effects on protozoa in lakes of different trophic status,10.4319/lo.2001.46.6.1558,1558–1565,46,(6)
"Cabrera-Ponce, J.L. et al. (2012) ‘Metamorphosis of the Basidiomycota Ustilago maydis: Transformation of yeast-like cells into basidiocarps’, Fungal Genetics and Biology, 49(10), pp. 765–771. Available at: https://doi.org/10.1016/j.fgb.2012.07.005.","Cabrera-Ponce, J.L. et al. ",2012,Metamorphosis of the Basidiomycota Ustilago maydis: Transformation of yeast-like cells into basidiocarps,10.1016/j.fgb.2012.07.005,765–771,49,(10)
"Cadez, N. and Smith, M.Th. (2011) ‘Hanseniaspora Zikes (1912)’, in The Yeasts. Elsevier, pp. 421–434. Available at: https://doi.org/10.1016/B978-0-444-52149-1.00032-X.","Cadez, N. and Smith, M.Th. ",2011,Hanseniaspora Zikes (1912),10.1016/B978-0-444-52149-1.00032-X,421–434,NA,NA
"Cambra, J. (2010) ‘Chrysophytes from some lakes and peat-bogs in the eastern Pyrenees, Catalonia (Spain)’, Biologia, 65(4), pp. 577–586. Available at: https://doi.org/10.2478/s11756-010-0057-z.","Cambra, J. ",2010,"Chrysophytes from some lakes and peat-bogs in the eastern Pyrenees, Catalonia (Spain)",10.2478/s11756-010-0057-z,577–586,65,(4)
"Çapar, S. (2012) ‘Morphology and morphometry of Bresslauides pratensis n. sp., a new soil ciliate (Ciliophora, Colpodea) from Turkey’, European Journal of Protistology, 48(3), pp. 252–260. Available at: https://doi.org/10.1016/j.ejop.2012.01.006.","Çapar, S. ",2012,"Morphology and morphometry of Bresslauides pratensis n. sp., a new soil ciliate (Ciliophora, Colpodea) from Turkey",10.1016/j.ejop.2012.01.006,252–260,48,(3)
"Carrillo, P. (2001) ‘Relationship Between N:P Ratio and Growth Rate During the Life Cycle of Calanoid Copepods: An in situ Measurement’, Journal of Plankton Research, 23(5), pp. 537–547. Available at: https://doi.org/10.1093/plankt/23.5.537.","Carrillo, P. ",2001,Relationship Between N:P Ratio and Growth Rate During the Life Cycle of Calanoid Copepods: An in situ Measurement,10.1093/plankt/23.5.537,537–547,23,(5)
"Carris, L.M., Castlebury, L.A. and Goates, B.J. (2006) ‘Nonsystemic Bunt Fungi— Tilletia indica and T. horrida : A Review of History, Systematics, and Biology’, Annual Review of Phytopathology, 44(1), pp. 113–133. Available at: https://doi.org/10.1146/annurev.phyto.44.070505.143402.","Carris, L.M., Castlebury, L.A. and Goates, B.J. ",2006,"Nonsystemic Bunt Fungi— Tilletia indica and T. horrida : A Review of History, Systematics, and Biology",10.1146/annurev.phyto.44.070505.143402,113–133,44,(1)
"Carty, S. (2003) ‘DINOFLAGELLATES’, in Freshwater Algae of North America. Elsevier, pp. 685–714. Available at: https://doi.org/10.1016/B978-012741550-5/50021-0.","Carty, S. ",2003,DINOFLAGELLATES,10.1016/B978-012741550-5/50021-0,685–714,NA,NA
"Cavalier-Smith, T. and Chao, E.E.-Y. (2003) ‘Phylogeny and Classification of Phylum Cercozoa (Protozoa)’, Protist, 154(3–4), pp. 341–358. Available at: https://doi.org/10.1078/143446103322454112.","Cavalier-Smith, T. and Chao, E.E.-Y. ",2003,Phylogeny and Classification of Phylum Cercozoa (Protozoa),10.1078/143446103322454112,341–358,154,(3–4)
"Cavalier-Smith, T. and Chao, E.E.-Y. (2006) ‘Phylogeny and Megasystematics of Phagotrophic Heterokonts (Kingdom Chromista)’, Journal of Molecular Evolution, 62(4), pp. 388–420. Available at: https://doi.org/10.1007/s00239-004-0353-8.","Cavalier-Smith, T. and Chao, E.E.-Y. ",2006,Phylogeny and Megasystematics of Phagotrophic Heterokonts (Kingdom Chromista),10.1007/s00239-004-0353-8,388–420,62,(4)
"Cavalier-Smith, T. and Von Der Heyden, S. (2007) ‘Molecular phylogeny, scale evolution and taxonomy of centrohelid heliozoa’, Molecular Phylogenetics and Evolution, 44(3), pp. 1186–1203. Available at: https://doi.org/10.1016/j.ympev.2007.04.019.","Cavalier-Smith, T. and Von Der Heyden, S. ",2007,"Molecular phylogeny, scale evolution and taxonomy of centrohelid heliozoa",10.1016/j.ympev.2007.04.019,1186–1203,44,(3)
"Chang, K.-H. et al. (2010) ‘Feeding habits of omnivorous Asplanchna: comparison of diet composition among Asplanchna herricki, A. priodonta and A. girodi in pond ecosystems’, Journal of Limnology, 69(2), p. 209. Available at: https://doi.org/10.4081/jlimnol.2010.209.","Chang, K.-H. et al. ",2010,"Feeding habits of omnivorous Asplanchna: comparison of diet composition among Asplanchna herricki, A. priodonta and A. girodi in pond ecosystems",10.4081/jlimnol.2010.209,209,69,(2)
"Chatelain, A.P. et al. (2013) ‘Sphenoderiidae (fam. nov.), a New Clade of Euglyphid Testate Amoebae Characterized by Small, Round Scales Surrounding the Aperture’, Protist, 164(6), pp. 782–792. Available at: https://doi.org/10.1016/j.protis.2013.08.001.","Chatelain, A.P. et al. ",2013,"Sphenoderiidae (fam. nov.), a New Clade of Euglyphid Testate Amoebae Characterized by Small, Round Scales Surrounding the Aperture",10.1016/j.protis.2013.08.001,782–792,164,(6)
"Chen, B., Liu, H. and Lau, M.T.S. (2010) ‘Grazing and growth responses of a marine oligotrichous ciliate fed with two nanoplankton: does food quality matter for micrograzers?’, Aquatic Ecology, 44(1), pp. 113–119. Available at: https://doi.org/10.1007/s10452-009-9264-5.","Chen, B., Liu, H. and Lau, M.T.S. ",2010,Grazing and growth responses of a marine oligotrichous ciliate fed with two nanoplankton: does food quality matter for micrograzers?,10.1007/s10452-009-9264-5,113–119,44,(1)
"Chen, K. and Zhuang, W.-Y. (2017) ‘Discovery from a large-scaled survey of Trichoderma in soil of China’, Scientific Reports, 7(1), p. 9090. Available at: https://doi.org/10.1038/s41598-017-07807-3.","Chen, K. and Zhuang, W.-Y. ",2017,Discovery from a large-scaled survey of Trichoderma in soil of China,10.1038/s41598-017-07807-3,9090,7,(1)
"Chen, Q. et al. (2015) ‘Resolving the Phoma enigma’, Studies in Mycology, 82(1), pp. 137–217. Available at: https://doi.org/10.1016/j.simyco.2015.10.003.","Chen, Q. et al. ",2015,Resolving the Phoma enigma,10.1016/j.simyco.2015.10.003,137–217,82,(1)
"Chen, Q. et al. (2017) ‘Didymellaceae revisited’, Studies in Mycology, 87(1), pp. 105–159. Available at: https://doi.org/10.1016/j.simyco.2017.06.002.","Chen, Q. et al. ",2017,Didymellaceae revisited,10.1016/j.simyco.2017.06.002,105–159,87,(1)
